OverallQual,GrLivArea,YearBuilt,TotalBsmtSF,FullBath,HalfBath,GarageCars,GarageArea,SalePrice,price_for_sft
5,1223.75,1991,838.75,1,0,3,627.0,385333.25,307.03622550900263
3,2402.0,1972,838.75,1,1,3,705.0,157806.75,307.03622550900263
7,1547.0,1968,1224.0,3,0,1,282.0,316056.0,258.2156862745098
3,1223.75,1937,2599.5,4,1,3,239.0,213285.0,88.0267741633301
8,2800.0,1985,838.75,2,1,3,705.5,304717.0,307.03622550900263
5,2650.0,1991,1218.0,2,1,1,239.0,385333.25,307.03622550900263
7,1223.75,1974,838.75,1,2,1,705.5,157806.75,174.8555399719495
8,2092.0,1974,1417.0,1,0,1,691.0,270912.0,191.18701482004235
8,1349.0,1988,1645.0,1,0,3,579.0,157806.75,88.0267741633301
6,2800.0,1954,1410.0,2,0,3,705.5,175163.0,124.2290780141844
3,2036.0,1991,2056.0,2,1,1,536.0,212657.0,103.43239299610894
8,1223.75,1969,838.75,1,1,3,239.0,227484.0,307.03622550900263
7,2800.0,1931,2599.5,1,2,3,705.5,343533.0,101.60692102928128
8,1480.0,1941,1751.0,3,2,1,586.0,385333.25,232.93203883495147
5,2800.0,1931,2039.0,3,2,2,705.5,241923.0,118.64786660127514
5,2014.0,1931,2599.5,3,2,1,552.0,385333.25,167.66026365348398
8,1225.0,1950,2225.0,1,0,3,239.0,385333.25,189.08134831460674
7,1703.0,1931,1614.0,1,1,1,239.0,297756.0,184.48327137546468
6,1223.75,1991,2599.5,2,2,3,594.0,327707.0,104.29885423297263
3,2790.0,1972,838.75,3,2,3,580.0,157806.75,307.03622550900263
8,2433.0,1931,1886.0,4,2,2,499.0,257813.0,136.6983032873807
7,1223.75,1931,1292.0,3,1,3,705.5,248033.0,191.97600619195046
7,1322.0,1931,2599.5,2,0,3,705.5,385333.25,127.65
8,1223.75,1991,838.75,2,0,1,239.0,207588.0,307.03622550900263
8,2342.0,1991,2599.5,2,1,3,428.0,157806.75,88.0267741633301
8,1946.0,1939,1103.0,4,0,1,705.5,384238.0,307.03622550900263
6,2800.0,1991,1550.0,4,1,3,514.0,157806.75,88.0267741633301
8,1223.75,1931,838.75,3,2,3,239.0,375617.0,307.03622550900263
8,1223.75,1964,1494.0,1,1,3,400.0,157806.75,93.5896921017403
6,2800.0,1931,2599.5,4,0,2,391.0,157806.75,88.0267741633301
8,1223.75,1931,2599.5,2,0,3,361.0,216747.0,88.0267741633301
6,2695.0,1951,838.75,2,1,3,407.0,385333.25,307.03622550900263
3,1490.0,1931,2599.5,2,0,2,705.5,157806.75,88.0267741633301
4,1223.75,1991,2535.0,1,0,2,705.5,157806.75,88.0267741633301
3,2285.0,1991,838.75,4,0,1,705.5,385333.25,307.03622550900263
4,1223.75,1991,2599.5,4,1,1,705.5,281705.0,99.01757469244288
8,1223.75,1931,2599.5,1,0,1,348.0,232480.0,88.0267741633301
6,1327.0,1931,1753.0,3,1,2,705.5,385333.25,261.6776953793497
3,2609.0,1979,1776.0,1,0,1,239.0,338398.0,190.5394144144144
6,2800.0,1931,2325.0,2,0,1,694.0,293650.0,126.3010752688172
8,2800.0,1991,838.75,3,0,2,618.0,157806.75,88.0267741633301
5,1498.0,1959,2070.0,3,2,1,689.0,245822.0,118.75458937198067
8,1974.0,1991,1236.0,3,0,1,705.5,303073.0,245.2046925566343
8,2403.0,1934,2599.5,4,0,1,657.0,157806.75,88.0267741633301
8,1524.0,1974,2059.0,1,1,1,239.0,385333.25,230.84895580378824
5,2493.0,1991,838.75,3,2,2,589.0,244395.0,307.03622550900263
