ID,OverallQual,GrLivArea,YearBuilt,TotalBsmtSF,FullBath,HalfBath,GarageCars,GarageArea,SalePrice
1,5,629,2022,702,1,0,3,627,457528
2,2,2402,1972,251,1,1,3,705,78691
3,7,1547,1968,1224,3,0,1,282,316056
4,1,666,1937,2890,4,1,3,39,213285
5,9,2946,1985,768,2,1,4,848,304717
6,5,2650,1996,1218,2,1,0,4,427342
7,7,1220,1974,713,1,2,0,789,124672
8,8,2092,1974,1417,1,0,1,691,270912
9,8,1349,1988,1645,1,0,3,579,118383
10,6,3437,1954,1410,2,0,3,935,175163
11,2,2036,2015,2056,2,1,1,536,212657
12,8,1116,1969,494,1,1,4,5,227484
13,7,3449,1919,3381,1,2,3,935,343533
14,9,1480,1941,1751,3,2,0,586,407864
15,5,2876,1912,2039,3,2,2,982,241923
16,5,2014,1914,2655,3,2,0,552,445138
17,9,1225,1950,2225,1,0,3,38,420706
18,7,1703,1931,1614,1,1,1,65,297756
19,6,592,2019,3142,2,2,4,594,327707
20,2,2790,1972,19,3,2,4,580,63722
21,10,2433,1924,1886,4,2,2,499,257813
22,7,876,1920,1292,3,1,4,825,248033
23,7,1322,1901,3420,2,0,3,755,436563
24,10,683,2011,476,2,0,0,43,207588
25,10,2342,2017,2987,2,1,3,428,126486
26,9,1946,1939,1103,4,0,0,709,384238
27,6,3104,2007,1550,4,1,4,514,118284
28,8,555,1913,33,3,2,3,181,375617
29,8,583,1964,1494,1,1,3,400,139823
30,6,2945,1914,3240,4,0,2,391,72353
31,10,770,1901,2951,2,0,3,361,216747
32,6,2695,1951,571,2,1,4,407,423558
33,2,1490,1931,3263,2,0,2,907,155916
34,4,877,2006,2535,1,0,2,889,82556
35,2,2285,2009,706,4,0,0,903,413064
36,4,666,2010,2845,4,1,0,752,281705
37,8,954,1922,3211,1,0,0,348,232480
38,6,1327,1919,1753,3,1,2,807,458721
39,2,2609,1979,1776,1,0,0,96,338398
40,6,3419,1900,2325,2,0,0,694,293650
41,10,3325,2003,831,3,0,2,618,64640
42,5,1498,1959,2070,3,2,0,689,245822
43,8,1974,1991,1236,3,0,0,748,303073
44,9,2403,1934,2671,4,0,1,657,103758
45,9,1524,1974,2059,1,1,0,178,475318
46,5,2493,2000,572,3,2,2,589,244395
47,6,1519,1911,2100,1,2,0,61,93935
48,2,1384,1988,292,3,0,4,23,323075
49,7,1290,1948,2221,4,0,0,227,457751
50,7,517,1923,752,4,1,1,20,353746
51,2,2669,1925,3020,3,1,1,593,437972
52,1,2226,1946,1243,4,2,3,723,383196
53,3,1845,1925,2751,4,1,4,957,163739
54,1,3245,1963,2448,2,1,4,849,442730
55,1,990,1973,3118,1,0,4,737,488694
56,4,1027,1966,1261,1,1,4,646,212338
57,8,2002,1918,2046,3,1,2,480,344203
58,8,3444,1941,2097,3,0,0,603,427824
59,7,3267,1906,3450,1,2,3,569,263379
60,3,2226,2002,450,3,0,4,205,464282
61,4,2460,1978,1944,3,1,4,414,262623
62,5,2721,1927,1623,2,2,1,336,366640
63,9,3061,1931,1012,2,2,3,0,400931
64,2,594,1950,3482,4,2,2,705,311686
65,1,1779,1938,3163,3,1,3,930,316952
66,2,3341,1905,428,4,0,3,307,51719
67,2,1782,1919,1819,4,1,4,423,326628
68,2,3308,1942,3174,4,2,4,114,496246
69,2,2364,1917,534,1,2,0,620,155330
70,10,1102,1978,2831,1,0,0,359,280963
71,9,3250,2006,2197,4,2,2,14,311369
72,6,2965,2018,2740,4,2,1,407,113598
73,2,1799,1985,428,2,1,3,230,261054
74,6,1543,1935,3309,1,0,3,969,278867
75,7,2953,1923,1736,3,1,1,480,310133
76,2,1752,1952,1071,2,0,0,988,224996
77,3,3408,2006,447,4,2,1,115,211608
78,6,2783,1975,3099,1,1,4,180,373965
79,9,587,1937,2421,1,2,4,150,392590
80,4,3398,1988,1427,1,0,3,428,329415
81,9,2584,1909,2976,1,2,3,980,86268
82,2,2995,1983,1649,3,2,0,746,460809
83,7,2440,1972,2332,3,1,2,86,158584
84,2,3255,1980,57,1,0,4,437,216166
85,9,1653,1937,831,2,2,3,732,152204
86,9,3073,1957,2946,4,0,3,75,259396
87,3,2255,2002,3081,1,2,2,112,127879
88,8,2285,2014,3064,4,1,4,377,267047
89,7,3317,1990,1687,1,2,3,490,420225
90,3,3419,1901,3486,1,0,2,551,219522
91,10,3173,1926,1073,4,0,0,412,416710
92,10,3116,1968,2695,3,0,0,692,350697
93,3,609,1988,1942,4,1,1,655,463452
94,7,894,1918,2067,3,1,2,168,175803
95,8,1560,1977,2247,2,1,3,321,60137
96,3,3121,1985,2281,3,2,0,199,206855
97,9,1853,1977,2075,1,1,2,426,99593
98,7,3424,1928,2414,4,0,1,20,143352
99,7,1872,1913,2157,1,1,1,726,122557
100,2,1093,1972,1469,2,2,0,773,269197
101,7,2246,2015,2831,4,2,3,730,396715
